species,first,second,recolour_core_pixels,mean_core_delta_ok_100,alpha_weighted_visible_delta_ok_100
C1,base,ember,8694,32.541831693240795,17.4073827540905
C1,base,frost,8694,30.135067694722466,15.900316825815935
C1,base,toxic,8694,21.39951055724873,11.640743752853117
C1,base,midnight,8694,56.387284265626846,29.76294774210223
C1,base,rose,8694,42.72618726127832,23.16908558676515
C1,ember,frost,8694,30.978224501742936,16.57249747218527
C1,ember,toxic,8694,31.541982086434917,16.895503267813705
C1,ember,midnight,8694,39.34454282618185,20.913520725058046
C1,ember,rose,8694,21.719335895777075,12.030533255647
C1,frost,toxic,8694,37.12614104707455,19.89467167941622
C1,frost,midnight,8694,28.8764797535222,15.27603615859153
C1,frost,rose,8694,33.32525142108715,18.13898766293255
C1,toxic,midnight,8694,57.50955170273937,30.474684292447833
C1,toxic,rose,8694,49.34659393759148,26.49212936819924
C1,midnight,rose,8694,35.52049040230908,18.993740259511497
C2,base,ember,7540,21.138601127271812,11.68712434107559
C2,base,frost,7540,27.309753088746604,14.953965854675278
C2,base,toxic,7540,29.08954168094084,15.977410857843891
C2,base,midnight,7540,29.764519006560654,16.19413597963748
C2,base,rose,7540,30.059721346312113,16.444111253019766
C2,ember,frost,7540,25.749003988240236,13.960351310297147
C2,ember,toxic,7540,26.752653790714458,14.449952025922594
C2,ember,midnight,7540,39.32444607005198,21.232970174632587
C2,ember,rose,7540,21.359324058862303,11.677786266236682
C2,frost,toxic,7540,22.878811945334903,12.462581582657617
C2,frost,midnight,7540,35.71438028942117,19.228548960608833
C2,frost,rose,7540,29.623585517819922,16.046668665389642
C2,toxic,midnight,7540,49.07925039612312,26.543342488282427
C2,toxic,rose,7540,43.26417020030488,23.488475138959906
C2,midnight,rose,7540,33.98555005704299,18.27158096881502
C3,base,ember,8252,26.927450741834107,16.652945998323595
C3,base,frost,8252,25.138995259545617,15.59011247643334
C3,base,toxic,8252,34.85719636652627,21.677012260120758
C3,base,midnight,8252,29.820937673703966,18.57293616972622
C3,base,rose,8252,24.743176414718736,15.437023205737729
C3,ember,frost,8252,31.757963373474617,19.6990984379597
C3,ember,toxic,8252,25.53325705783091,15.776168323574908
C3,ember,midnight,8252,39.324900925866565,24.49005660032118
C3,ember,rose,8252,21.349882442060856,13.543046858305377
C3,frost,toxic,8252,22.47003862709978,14.036235784372153
C3,frost,midnight,8252,48.42449032454629,30.024738176519072
C3,frost,rose,8252,42.35719850220097,26.386428247073596
C3,toxic,midnight,8252,49.97238853887875,31.208423613726026
C3,toxic,rose,8252,42.60967853139695,26.723454981990454
C3,midnight,rose,8252,28.70393151154586,17.819107947221937
C4,base,ember,6947,29.117815371548687,11.691338653676963
C4,base,frost,6947,25.23981608402072,10.23624742018799
C4,base,toxic,6947,24.125147415613565,9.626602060480018
C4,base,midnight,6947,44.7908396102261,17.64894625811854
C4,base,rose,6947,23.599592283659753,10.486918199516722
C4,ember,frost,6947,39.61107516086173,16.184718468105842
C4,ember,toxic,6947,36.45620790590975,14.908367867496313
C4,ember,midnight,6947,24.713276660160286,9.977607613152978
C4,ember,rose,6947,28.579241914163422,11.979939573109535
C4,frost,toxic,6947,23.932368287164348,9.865217128395795
C4,frost,midnight,6947,40.49290907886694,16.20273601050776
C4,frost,rose,6947,31.489906429330695,13.382326696034044
C4,toxic,midnight,6947,45.52009568456197,18.347839862659388
C4,toxic,rose,6947,43.147240300460574,18.303954353053488
C4,midnight,rose,6947,36.91782970837196,14.961192423223915
C5,base,ember,8833,27.454134068896614,14.469471548308471
C5,base,frost,8833,21.79050804762646,11.608873059529921
C5,base,toxic,8833,25.872912850519935,13.851755062099013
C5,base,midnight,8833,35.230053245970296,18.43281457880757
C5,base,rose,8833,24.14247030308654,12.817378767900376
C5,ember,frost,8833,36.676489458803886,19.377719573394877
C5,ember,toxic,8833,45.4633092248639,23.66934362776287
C5,ember,midnight,8833,21.18583634110746,11.359396688856872
C5,ember,rose,8833,29.181669555245755,15.34476233475769
C5,frost,toxic,8833,31.11519967223647,16.599555126326454
C5,frost,midnight,8833,30.361942515946126,15.690853832801215
C5,frost,rose,8833,31.902906481593586,16.855191489795146
C5,toxic,midnight,8833,50.11645338209647,26.374185392066014
C5,toxic,rose,8833,48.99719634718634,25.889307687519203
C5,midnight,rose,8833,36.121454402195475,18.825002438810376
C6,base,ember,126833,28.233535914346735,2.769219872635254
C6,base,frost,126833,24.402321048442495,2.394441134054863
C6,base,toxic,126833,22.27695527791629,2.1860265828666168
C6,base,midnight,126833,59.878794678562116,5.870973474240214
C6,base,rose,126833,44.77331894800276,4.395205013449132
C6,ember,frost,126833,32.987411806961745,3.234863040218487
C6,ember,toxic,126833,36.15580561901154,3.5464196018357796
C6,ember,midnight,126833,41.54429785757298,4.071580503538703
C6,ember,rose,126833,21.776558462831904,2.1387380335242523
C6,frost,toxic,126833,28.617895158687194,2.808282332424717
C6,frost,midnight,126833,47.903541644758604,4.69604109822528
C6,frost,rose,126833,37.81245030036506,3.710876004073185
C6,toxic,midnight,126833,52.69347072905573,5.166609064465767
C6,toxic,rose,126833,52.07950182318497,5.111241449362644
C6,midnight,rose,126833,34.96229945620592,3.425539767934304
