species,first,second,recolour_core_pixels,mean_core_delta_ok_100,alpha_weighted_visible_delta_ok_100
C1,base,ember,8694,32.541831693240795,17.4073827540905
C1,base,frost,8694,10.130837017622687,5.46815888974151
C1,base,toxic,8694,21.39951055724873,11.640743752853117
C1,base,midnight,8694,56.387284265626846,29.76294774210223
C1,base,rose,8694,37.7382792275998,20.445545531999525
C1,ember,frost,8694,27.992137393044846,14.97717862389771
C1,ember,toxic,8694,31.541982086434917,16.895503267813705
C1,ember,midnight,8694,39.34454282618185,20.913520725058046
C1,ember,rose,8694,12.606863253476366,7.1471136437238
C1,frost,toxic,8694,23.359334488311177,12.75286669316413
C1,frost,midnight,8694,46.98319754227096,24.888966653885607
C1,frost,rose,8694,31.95239106344537,17.429222269806694
C1,toxic,midnight,8694,57.50955170273937,30.474684292447833
C1,toxic,rose,8694,41.23298653537722,22.105076033358614
C1,midnight,rose,8694,34.47987400803957,18.444238726132372
C2,base,ember,7540,14.221890578310582,8.048319837253038
C2,base,frost,7540,27.309753088746604,14.953965854675278
C2,base,toxic,7540,29.08954168094084,15.977410857843891
C2,base,midnight,7540,29.764519006560654,16.19413597963748
C2,base,rose,7540,21.456198656074076,11.842047851412428
C2,ember,frost,7540,28.651754910588362,15.489660218256871
C2,ember,toxic,7540,33.45530544194384,18.031429770127254
C2,ember,midnight,7540,26.839551688618695,14.582534216157894
C2,ember,rose,7540,11.070199656520108,6.103156476964373
C2,frost,toxic,7540,22.878811945334903,12.462581582657617
C2,frost,midnight,7540,35.71438028942117,19.228548960608833
C2,frost,rose,7540,27.117245461856744,14.666698159413096
C2,toxic,midnight,7540,49.07925039612312,26.543342488282427
C2,toxic,rose,7540,37.623199125418395,20.43157243403821
C2,midnight,rose,7540,28.67134479092864,15.445282529892937
C3,base,ember,8252,26.927450741834107,16.652945998323595
C3,base,frost,8252,17.27889357317657,10.792265442608867
C3,base,toxic,8252,34.85719636652627,21.677012260120758
C3,base,midnight,8252,29.820937673703966,18.57293616972622
C3,base,rose,8252,23.111231744432114,14.341590486665584
C3,ember,frost,8252,25.487998961470577,15.82805908900241
C3,ember,toxic,8252,25.53325705783091,15.776168323574908
C3,ember,midnight,8252,39.324900925866565,24.49005660032118
C3,ember,rose,8252,13.507828241279002,8.627904021727382
C3,frost,toxic,8252,22.25431965465791,13.912184598614871
C3,frost,midnight,8252,41.631617089021795,25.913057316806874
C3,frost,rose,8252,28.434108009496402,17.731375315034235
C3,toxic,midnight,8252,49.97238853887875,31.208423613726026
C3,toxic,rose,8252,34.40485820790865,21.58131064582068
C3,midnight,rose,8252,30.43292199473413,18.888295029950626
C4,base,ember,6947,12.762106150708648,5.507706766161529
C4,base,frost,6947,25.23981608402072,10.23624742018799
C4,base,toxic,6947,24.125147415613565,9.626602060480018
C4,base,midnight,6947,44.7908396102261,17.64894625811854
C4,base,rose,6947,18.450905926029947,8.443550324415968
C4,ember,frost,6947,31.63483857368426,13.150609091458785
C4,ember,toxic,6947,31.056495360178687,12.846702653118532
C4,ember,midnight,6947,37.39110983172396,14.747624897093065
C4,ember,rose,6947,9.620857902330766,4.832276626563125
C4,frost,toxic,6947,23.932368287164348,9.865217128395795
C4,frost,midnight,6947,40.49290907886694,16.20273601050776
C4,frost,rose,6947,30.71915783795662,12.995165945904388
C4,toxic,midnight,6947,45.52009568456197,18.347839862659388
C4,toxic,rose,6947,36.789631353219036,15.801363027977805
C4,midnight,rose,6947,33.24547024458579,13.558326244916291
C5,base,ember,8833,12.233107710811131,6.598016941367633
C5,base,frost,8833,14.754987711351838,7.988714719581487
C5,base,toxic,8833,15.170725166113327,8.30887768805635
C5,base,midnight,8833,35.230053245970296,18.43281457880757
C5,base,rose,8833,17.214425122095697,9.134375575778154
C5,ember,frost,8833,24.012553701782064,12.828334393871124
C5,ember,toxic,8833,22.929071157794453,12.029605473327313
C5,ember,midnight,8833,30.152646753467984,15.9299097673046
C5,ember,rose,8833,9.638373552411068,5.308496646606584
C5,frost,toxic,8833,17.136234849245493,9.385103537205705
C5,frost,midnight,8833,34.51554385683976,17.83635082223394
C5,frost,rose,8833,25.155916906590654,13.2981092955436
C5,toxic,midnight,8833,39.71672387970086,21.022244698164027
C5,toxic,rose,8833,29.903307581336904,15.899524628229827
C5,midnight,rose,8833,26.82917002628089,14.046238677866091
C6,base,ember,126833,28.233535914346735,2.769219872635254
C6,base,frost,126833,24.402321048442495,2.394441134054863
C6,base,toxic,126833,13.252575735364477,1.2992680228378157
C6,base,midnight,126833,59.878794678562116,5.870973474240214
C6,base,rose,126833,39.632889650830435,3.8897445566155313
C6,ember,frost,126833,32.987411806961745,3.234863040218487
C6,ember,toxic,126833,35.63277770424821,3.4941083210546684
C6,ember,midnight,126833,41.54429785757298,4.071580503538703
C6,ember,rose,126833,13.161264122075208,1.2932727327636266
C6,frost,toxic,126833,25.81789754415077,2.5328967945011414
C6,frost,midnight,126833,47.903541644758604,4.69604109822528
C6,frost,rose,126833,37.69116526438394,3.6974031419610065
C6,toxic,midnight,126833,59.332269111368504,5.817271819851513
C6,toxic,rose,126833,46.83213454073885,4.594867038742177
C6,midnight,rose,126833,35.61805936769025,3.4892353620675505
